Rank,ASIN_ISBN,Title,Frequency
1,B074PVTPBW,"Mighty Patch Original from Hero Cosmetics - Hydrocolloid Acne Pimple Patch for Covering Zits and Blemishes, Spot Stickers for Face and Skin, Vegan-friendly and Not Tested on Animals (36 Count)",75
2,B00QY1XZ4W,Vanicream Gentle Facial Cleanser with Pump Dispenser - 8 fl oz - Formulated Without Common Irritants for Those with Sensitive Skin,68
3,B075QNC39Q,"Avarelle Pimple Patches (40 Count) Hydrocolloid Acne Cover Patches | Zit Patches for Blemishes, Zits and Breakouts with Tea Tree, Calendula and Cica Oil for Face | Vegan, Cruelty Free Certified, Carbonfree Certified (40 PATCHES)",60
4,B00TTD9BRC,CeraVe Moisturizing Cream | Body and Face Moisturizer for Dry Skin | Body Cream with Hyaluronic Acid and Ceramides | Normal | Fragrance Free | 19 Oz | Packages May Vary,51
5,B0792VC84C,"Acwin Plus Derm 3 Pack Acne Spot Pimple Absorbing Cover Patch, Moist Wound Dressing for Skin Trouble Acne Pimple Care Hydrocolloid Patch (Total 204 count)",46
6,B00NR1YQHM,"Neutrogena Hydro Boost Face Moisturizer with Hyaluronic Acid for Dry Skin, Oil-Free and Non-Comedogenic Water Gel Face Lotion, 1.7 oz",46
7,B01CI57V2O,"Orgain Grass Fed Clean Protein Shake, Creamy Chocolate Fudge - 20g of Protein, Meal Replacement, Ready to Drink, Gluten Free, Soy Free, Kosher, Packaging May Vary, 11 Fl Oz (Pack of 12)",44
8,B01N5CQCXD,"Skinae Acwin Plus Derm hydrocolloid Acne Spot Pimple Absorbing Cover Patch, Moist Wound Dressing for Skin Trouble Acne Pimple Care Patch (204 Count)",44
9,B00175U4L2,"ELEMIS Daily Moisture Boost for Men | Lightweight Post-Shave Day Lotion Hydrates, Soothes, Nourishes, and Calms for Refreshed, Recharged Skin | 1.6 Fl Oz",43
10,B081KL2QYJ,"PanOxyl Acne Foaming Wash Benzoyl Peroxide 10% Maximum Strength Antimicrobial, 5.5 Oz",42
11,B07MSG37BT,"Pork King Good Spicy Cajun Low Carb Keto Diet Pork Rind Breadcrumbs!Perfect For Ketogenic, Paleo, Gluten-Free, Sugar Free and Bariatric Diets (Original) (Cajun, 12 Oz Jar)",40
12,B07G1VKCND,"Rael Miracle Invisible Spot Cover - Hydrocolloid, Acne Pimple Absorbing Cover, Blemish Spot, Skin Care, Facial Stickers, 2 Sizes (96 Count)",39
13,B01CI57UD4,"Orgain Grass Fed Clean Protein Shake, Vanilla Bean - 20g of Protein, Meal Replacement, Ready to Drink, Gluten Free, Soy Free, Kosher, 11 Fl Oz (Pack of 12) (Packaging May Vary)",39
14,B014SAB948,"COSRX Acne Pimple Patch (96 Counts) Absorbing Hydrocolloid Original 3 Size Patches for Blemishes and Zits Cover, Spot Stickers for Face and Body, Not Tested on Animals, No Toxic Ingredients",38
15,B00027DDOQ,"Clean & Clear Advantage Acne Spot Treatment Gel Cream with 2% Salicylic Acid Acne Medication, Witch Hazel & BHA, Oil-Free Gel Pimple Cream for Adults & Teens, Salicylic Acid.75 oz",37
16,B07B4KQVK6,"Mighty Patch Original from Hero Cosmetics - Hydrocolloid Acne Pimple Patch for Covering Zits and Blemishes, Spot Stickers for Face and Skin, Vegan-friendly and Not Tested on Animals (72 Count)",36
17,B01MSSDEPK,"CeraVe Hydrating Facial Cleanser | Moisturizing Non-Foaming Face Wash with Hyaluronic Acid, Ceramides and Glycerin | Fragrance Free Paraben Free | 16 Fluid Ounce",34
18,B0099HD3YA,"Nespresso Capsules OriginalLine, Ispirazione Variety Pack, Medium & Dark Roast Espresso Coffee, 50 Count Espresso Coffee Pods, Brews 1.35 Ounce",31
19,B00U1YCRD8,"CeraVe SA Cleanser | Salicylic Acid Cleanser with Hyaluronic Acid, Niacinamide & Ceramides| BHA Exfoliant for Face | Fragrance Free Non-Comedogenic | 8 Ounce",30
20,B01N1LL62W,"CeraVe Foaming Facial Cleanser | Daily Face Wash for Oily Skin with Hyaluronic Acid, Ceramides, and Niacinamide| Fragrance Free Paraben Free | 16 Fluid Ounce",30
21,B00NR1YQK4,"Neutrogena Hydro Boost Face Moisturizer with Hyaluronic Acid for Extra Dry Skin, Fragrance Free, Oil-Free, Non-Comedogenic Gel Cream Face Lotion, 1.7 oz",30
22,B000KEIPC6,"Men's Hair Forming Cream by American Crew, Like Hair Gel with Medium Hold with Medium Shine, 3 Oz (Pack of 1)",28
23,B00PBX3L7K,"COSRX Snail Mucin 96% Power Repairing Essence 3.38 fl.oz, 100ml, Hydrating Serum for Face with Snail Secretion Filtrate for Dark Spots and Fine Lines, Not Tested on Animals, No Parabens, No Sulfates, No Phthalates, Korean Skincare",28
24,B004DGO3WS,"Benadryl Children's Dye-Free Allergy Liquid, Diphenhydramine HCl, Bubble Gum, 4 fl. oz",27
25,B000YJ2SLG,CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion & Facial Moisturizer with Hyaluronic Acid and Ceramides | 12 Fl Ounce,27
26,B00F97FHAW,CeraVe AM Facial Moisturizing Lotion SPF 30 | Oil-Free Face Moisturizer with Sunscreen | Non-Comedogenic | 3 Ounce,27
27,B00HSMS5OQ,vH essentials Probiotics with Prebiotics and Cranberry Feminine Health Supplement - 60 Capsules,27
28,B0718YFR4K,"Dreambone Twist Sticks, Rawhide-Free Chews For Dogs, With Real Chicken, 50-Count",27
29,B0080D1Q52,"Dr Tealâ€™s Foaming Bath with Pure Epsom Salt, Soothe & Sleep with Lavender, 34 fl oz",26
30,B0812LJ14T,Virbac CET Enzymatic Oral Hygiene Chews for Dogs 8.5 Ounce (Pack of 1),26
31,B00JSJHEJE,DISCONTINUED: IAMS PURRFECT DELIGHTS Pate in Gravy Variety Pack Canned Cat Food 3 Ounces (Pack of 18),26
32,B00SNM5US4,Olaplex Hair Repair Treatment,25
33,B078WSQCJS,"Quaker Instant Oatmeal, Lower Sugar Maple and Brown Sugar, Individual Packets, 1.19 Ounce (Pack of 48)",25
34,B0787GLBMV,"Schick Hydro Silk Touch-Up Dermaplaning Tool, 3 Count | Eyebrow Razor, Face Razors for Women, Face Shaver, Dermaplane",24
35,B00949CTQQ,"Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant--Facial Exfoliant for Blackheads, Enlarged Pores, Wrinkles & Fine Lines, 4 oz Bottle",24
36,B009UQXD90,"Twinings Earl Grey Black Tea Bags, 100 Count (Pack of 1)",24
37,B00T0C9XRK,essence | Lash Princess False Lash Effect Mascara | Gluten & Cruelty Free,23
38,B08BW46XXK,Vanicream Daily Facial Moisturizer - 3 fl oz - Formulated Without Common Irritants for Those with Sensitive Skin,23
39,B01BS52GXE,"Metamucil Fiber Thins, Psyllium Husk Fiber Supplement, Digestive Health Support and Satisfy Hunger, Apple Crisp Flavored, 12 Count (Pack of 4)",23
40,B01FYD6U06,"NATURELO One Daily Multivitamin for Women - Energy Support - Whole Food Supplement to Nourish Hair, Skin, Nails - Non-GMO - No Soy - Gluten Free - 60 Capsules | 2 Month Supply",23
41,B018E6TTAI,"Carefree Acti-Fresh Body Shaped Panty Liners, Flexible Protection that Molds to Your Body, Long, 112 Count (Pack of 1)",23
42,B07N46LTJJ,"ZzzQuil Pure Zzzs Melatonin Sleep Aid Gummies, Helps You Fall Asleep Naturally, Wildberry Vanilla Flavor, Chamomile Lavender & Valerian Root, 1mg per Gummy, 72 Count",23
43,B07C6M1H11,"TheraTears Dry Eye Therapy Lubricating Eye Drops for Dry Eyes, 1 fl oz bottle Twin Pack, (2 x 30mL Bottles)",22
44,B0787GLBMV,"Schick Hydro Silk Touch-Up Exfoliating Dermaplaning Tool, Face & Eyebrow Razor with Precision Cover- 3 Count | Dermaplaning Razor For Women",22
45,B07L1PHSY9,"Acne Treatment Differin Gel, 30 Day Supply, Retinoid Treatment for Face with 0.1% Adapalene, Gentle Skin Care for Acne Prone Sensitive Skin, 15g Tube",22
46,B010OP2AIA,"NYX PROFESSIONAL MAKEUP HD Finishing Powder, Pressed Setting Powder - Mint Green",21
47,B01B5KAAUS,"Quilted Northern Ultra Plush Toilet Paper, 24 Supreme Rolls = 105 Regular Rolls, 3-ply Bath Tissue",21
48,B007HD570Q,"THAYERS Alcohol-Free Rose Petal Witch Hazel Facial Toner with Aloe Vera Formula, 12 Ounce",21
49,B01NCJSM2T,"Cascade Complete Dishwasher Pods, Dishwasher tabs, Dish Washing Pods for Dishwasher, Dishwasher tablets, Fresh Scent ActionPacs, 78 Count",21
50,B0179IBBEE,"COSRX Acne Pimple Master Patch, Absorbing Hydrocolloid Original 3 Size Patches for Blemishes and Zits Cover, Spot Stickers for Face and Body, Not Tested on Animals, No Toxic Ingredients (240 Count (Pack of 10))",21
51,B007M1ZQM2,"H2Ocean Piercing Aftercare Spray, Sea Salt Keloid & Bump Treatment, Wound Care Spray 4oz",21
52,B077TWXCQV,CeraVe Body Wash with Salicylic Acid | Fragrance Free Body Wash to Exfoliate Rough and Bumpy Skin | Allergy Tested | 10 Ounce,21
53,B01H4P9JPK,"MY BEAUTY DIARY-Black Pearl Brightening Facial Mask, Instant Hydrating and Deep Moisturizing with Collagen, Arbutin Protein, Aloe, and Natural Flower Extract, Rich Nutrition to Revitalize Dull Skin (8 Combo Pack)",21
54,B001FXSQFW,"Just For Men Touch of Gray, Hair Coloring with Comb Applicator, Great for a Salt and Pepper Look - Dark Brown, T-45",20
55,B01N9KIKZA,Milani Make It Last 3-in-1 Setting Spray and Primer- Prime + Correct + Set (2.03 Fl. Oz.) Makeup Finishing Spray and Primer - Long Lasting Makeup Primer and Spray,20
56,B08G5F13W8,"Clean Skin Club Clean Towels, Worlds 1ST Acne Fighting Biodegradable Face Towel, Award Winning, Dermatology Tested & Approved, Super Soft For Sensitive Skin, Dry Towelettes, 25 Count, 1 Pack",20
57,B016NRXO06,"COSRX Low pH Good Morning Gel Cleanser, 5.07 fl.oz / 150ml, Daily Mild Face Cleanser for Acne Prone Skin, PH Balancing, Anti Acne, Breakouts Treatment, Not Tested on Animals, No Parabens, No Sulfates, No Phthalates, Korean Skincare",20
58,B003K01BMI,"DenTek Triple Clean Advanced Clean Floss Picks, No Break & No Shred Floss, 150 Count",19
59,B004FHZKOA,Aquaphor Lip Repair Ointment - Long-lasting Moisture to Soothe Dry Chapped Lips - .35 fl. oz. Tube,19
60,B0846G318P,"Dove Deep Moisture Body Wash For Dry Skin Moisturizing Body Wash Transforms Even The Driest Skin In One Shower , 22 Fl Oz (Pack of 4)",19
61,B076KNVTHQ,Retinol Moisturizer Anti Aging Cream for Face and Eye Area - With Hyaluronic Acid - 2.5% Active Retinol - Vitamin E - Reduce Appearance of Wrinkles and Fine lines - Best Day and Night Face Cream,19
62,B018J1LOSI,"Lipo-Flavonoid Plus, Tinnitus Relief for Ringing Ears, OTC Flavonoid Ear Health Vitamins, Bioflavonoids & Vitamin C, 100 Caplets",18
63,B01BT02Q88,"Eva Naturals Vitamin C Serum for Face Plus Hyaluronic Acid, Retinol, Niacinamide & Salicylic Acid, Anti Aging Serum, Reduce Fine Lines, Wrinkles & Dark Spots, Brightening Skin Serum for Glowing Skin, Acne Serum (1 oz)",18
64,B01DTQD7VA,Jade Leaf Organic Matcha Latte Mix - Cafe Style Sweetened Blend - Sweet Matcha Green Tea Powder (5.3 Ounce),18
65,B079NHM5HX,Waterpik Whitening Water Flosser Refill Tablets - Only for Use with Waterpik Whitening Flosser - 30 Count,18
66,B07W81YFP5,"L'OR Espresso Capsules, 50 Count Variety Pack, Single-Serve Aluminum Coffee Capsules Compatible with the L’OR BARISTA System & Nespresso Original Machines",18
67,B0051U7W32,"Mack's Ultra Soft Foam Earplugs, 50 Pair - 33dB Highest NRR, Comfortable Ear Plugs for Sleeping, Snoring, Travel, Concerts, Studying, Loud Noise, Work",18
68,B002MSN3QQ,"EltaMD UV Clear SPF 46 Face Sunscreen, Broad Spectrum Sunscreen for Sensitive Skin and Acne-Prone Skin, Oil-Free Mineral-Based Sunscreen Lotion with Zinc Oxide, Dermatologist Recommended, 1.7 oz Pump",18
69,B0044B4HSM,"Blistex Medicated Lip Balm, 0.15 Ounce, Pack of 3 – Prevent Dryness & Chapping, SPF 15 Sun Protection, Seals in Moisture, Hydrating Lip Balm, Easy Glide Formula for Full Coverage",18
70,B079NV9PBG,"Yes To Soothing Hypoallergenic Facial Wipes for Sensitive Skin, Cucumbers Aloe Vera, 30 Count (Pack of 2)",17
71,B004Y9GTYE,"Maybelline Instant Age Rewind Eraser Dark Circles Treatment Multi-Use Concealer, 120, 1 Count (Packaging May Vary)",17
72,B00NJNJ6VE,"Carefree Acti-Fresh Thin Panty Liners, Unscented, 92 Count",17
73,B00M49SG0Q,Honest Amish - Classic Beard Oil - 2 Ounce,17
74,B00U0OVT9M,"ökocat Super Soft Natural Wood Clumping Litter for Delicate Paws, 11.2 lbs, Medium",17
75,B07PXGQC1Q,"Apple AirPods (2nd Generation) Wireless Earbuds with Lightning Charging Case Included. Over 24 Hours of Battery Life, Effortless Setup. Bluetooth Headphones for iPhone",17
76,B01LEJ5MSK,"COSRX Snail Mucin 92% Repair Cream 3.52 oz, 100g, Daily Face Gel Moisturizer for Dry Skin, Acne-prone, Sensitive Skin, Not Tested on Animals, No Parabens, No Sulfates, No Phthalates, Korean Skincare",17
77,B000MD2H1U,"Nutramax Dasuquin Joint Health Supplement for Small to Medium Dogs - With Glucosamine, Chondroitin, ASU, Boswellia Serrata Extract, Green Tea Extract, 150 Chewable Tablets",17
78,B004O2A29E,"Clear Care Cleaning & Disinfecting Solution with Lens Case, Twin Pack, 12 Fl Oz",17
79,B07C5SS6YD,"Paula's Choice Skin Perfecting 2% BHA Liquid Salicylic Acid Exfoliant, Gentle Facial Exfoliator for Blackheads, Large Pores, Wrinkles & Fine Lines, Travel Size, 1 Fluid Ounce - PACKAGING MAY VARY",17
80,B01A74442I,"Cliganic USDA Organic Jojoba Oil, 100% Pure (4oz) | Moisturizing Oil for Face, Hair, Skin & Nails | Natural Cold Pressed Hexane Free",17
81,B002R0DXQE,"Affresh W10282479 Dishwasher Cleaner, 1 Pack",17
82,B01N97PCBH,"Garnier Fructis Pure Clean Shampoo, Paraben-Free Silicone-Free with Aloe Extract and Vitamin E, 12.5 Fl Oz Bottle",17
83,B07RL88DD2,"CeraVe Hydrating Facial Cleanser | Moisturizing Non-Foaming Face Wash with Hyaluronic Acid, Ceramides and Glycerin | Fragrance Free Paraben Free | 19 Fluid Ounce",17
84,B00365DABC,"CeraVe PM Facial Moisturizing Lotion | Night Cream with Hyaluronic Acid and Niacinamide | Ultra-Lightweight, Oil-Free Moisturizer for Face | 3 Ounce",17
85,B072K1LNNY,"SeoulCeuticals Korean Skin Care Korean Beauty - 20% Vitamin C Hyaluronic Acid Serum + CE Ferulic Acid Provides Potent Anti Aging, Anti Wrinkle Korean Beauty 1oz",16
86,B07P39KTFN,"EasyTouch U-100 Insulin Syringe with Needle, 31G 1cc 5/16-Inch (8mm), Box of 100",16
87,B01DIXHNUU,"Eucerin Advanced Repair Body Cream, Fragrance Free Body Cream for Dry Skin, 16 Oz Jar",16
88,B00I4BUBN8,"Hada Labo Tokyo Skin Plumping Gel Cream with Super Hyaluronic Acid & Collagen - 24 Hour Moisture & visible Line Plumping Fragrance & Paraben Free Non-Comedogenic (Packaging May Vary), 1.76 Fl Oz",16
89,B01FN9CKBY,"Mylanta Antacid and Gas Relief, Maximum Strength Formula, Vanilla Caramel Flavor, 12 Fluid Ounce",16
90,B002PHRLC6,"L'ANZA Healing Smooth Glossifying Shampoo, Nourishes, Repairs, and Boosts Hair Shine and Strength for a Perfect Silky-Smooth, Frizz-free Look (10.14 Fl Oz)",16
91,B01I2ZQJSG,Elizavecca cer-100 collagen coating hair protein treatment 100ml,16
92,B007R8XGJA,"CELSIUS Sparkling Orange, Functional Essential Energy Drink 12 Fl Oz (Pack of 12)",16
93,B076H7T3SY,"Summer’s Eve Simply Sensitive Daily Gentle Feminine Wipes, pH Balanced, 16 count, 3 Pack",16
94,B00L4TF32G,"303 Aerospace Protectant - Provides Superior UV Protection, Helps Prevent Fading and Cracking, Repels Dust, Lint, and Staining, Restores Lost Color and Luster, 1 Gallon (30320)",16
95,B06XDLY282,"L'Oreal Paris Makeup Lash Paradise Mascara, Voluptuous Volume, Intense Length, Feathery Soft Full Lashes, No Flaking, No Smudging, No Clumping, Mystic Black, 0.25 Fl Oz (Pack of 1)",16
96,B079FV6PRH,"Softsoap Liquid Hand Soap, Fresh Breeze - 7.5 Fl Oz (Pack of 6)",16
97,B01M0OXBRJ,"L'Oreal Paris Elvive Color Vibrancy Repair and Protect Balm, 8.5 fl; oz; (Packaging May Vary)",16
98,B094TG5HDJ,"Quaker Instant Oatmeal Lower, Maple & Brown Sugar, 1.19 Oz, Pack of 44",16
99,B01LX711HR,"Peet's Coffee, Light Roast K-Cup Pods for Keurig Brewers - Luminosa Breakfast Blend 60 Count (6 Boxes of 10 K-Cup Pods) Packaging May Vary",16
100,B07MWPW6XD,Hanhoo Blemish Patch | Hydrocolloid Patches | Spot Treatment for Pimples | Covers Acne and Absorbs Pus & Oil | For Face and Body Zits | Cruelty-free & Vegan | 72 Patch Count,15
